500 , 217, 222, 222, 219, 200, 216, 9.19239
1000 , 242, 247, 251, 250, 227, 243.4, 9.81326
1500 , 264, 272, 266, 274, 244, 264, 11.9164
2000 , 260, 252, 272, 262, 252, 259.6, 8.29458
2500 , 283, 261, 279, 285, 269, 275.4, 10.139
3000 , 286, 282, 292, 280, 274, 282.8, 6.72309
3500 , 294, 300, 282, 298, 270, 288.8, 12.6174
4000 , 294, 282, 281, 300, 266, 284.6, 13.1453
4500 , 291, 293, 274, 280, 262, 280, 12.7475
5000 , 285, 257, 294, 290, 253, 275.8, 19.3054
5500 , 308, 310, 299, 302, 268, 297.4, 17.0235
6000 , 275, 285, 309, 302, 287, 291.6, 13.704
6500 , 294, 287, 303, 272, 263, 283.8, 16.2388
7000 , 263, 271, 278, 305, 256, 274.6, 18.9024
7500 , 278, 302, 284, 305, 260, 285.8, 18.4445
8000 , 300, 285, 311, 317, 281, 298.8, 15.7226
8500 , 285, 287, 296, 274, 276, 283.6, 8.90505
9000 , 295, 291, 309, 290, 237, 284.4, 27.5645
9500 , 284, 297, 266, 290, 261, 279.6, 15.5016
10000 , 286, 307, 305, 314, 300, 302.4, 10.4547
