1000, 150, 146, 146, 145, 134, 144.2, 6.01664
6000, 264, 262, 249, 263, 245, 256.6, 8.90505
11000, 274, 278, 259, 265, 255, 266.2, 9.73139
16000, 301, 285, 295, 281, 258, 284, 16.5529
21000, 271, 293, 300, 317, 277, 291.6, 18.4065
26000, 262, 300, 288, 286, 267, 280.6, 15.7417
31000, 277, 286, 288, 292, 260, 280.6, 12.7593
36000, 301, 300, 306, 314, 283, 300.8, 11.3886
41000, 248, 289, 285, 295, 264, 276.2, 19.6138
46000, 276, 306, 281, 303, 261, 285.4, 18.9552
51000, 256, 295, 314, 256, 272, 278.6, 25.4323
56000, 322, 285, 287, 301, 274, 293.8, 18.4581
61000, 307, 265, 286, 328, 235, 284.2, 36.1621
